perm_id,modal_label,modal_fraction,stability_score,multilabel_union
2821.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2822.0,Other,1.0,1.0,Other
2823.0,Other,1.0,1.0,Other
2824.0,Other,1.0,1.0,Other
2825.0,Other,1.0,1.0,Other
2826.0,Other,1.0,1.0,Other
2827.0,Other,0.9818652849740933,0.9818652849740933,APD;Other
2828.0,Other,1.0,1.0,Other
2829.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2830.0,Other,1.0,1.0,Other
2831.0,Other,1.0,1.0,Other
2832.0,Other,1.0,1.0,Other
2833.0,Other,1.0,1.0,Other
2834.0,Other,1.0,1.0,Other
2835.0,Other,1.0,1.0,Other
2836.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2837.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2838.0,Other,1.0,1.0,Other
2839.0,Other,1.0,1.0,Other
2840.0,Other,1.0,1.0,Other
2841.0,Other,1.0,1.0,Other
2842.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2843.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2844.0,Other,1.0,1.0,Other
2845.0,Other,1.0,1.0,Other
2846.0,Other,1.0,1.0,Other
2847.0,Other,1.0,1.0,Other
2848.0,Other,1.0,1.0,Other
2849.0,Other,1.0,1.0,Other
2850.0,Other,1.0,1.0,Other
2851.0,Other,1.0,1.0,Other
2852.0,Other,0.9248704663212435,0.9248704663212435,APD;Other
2853.0,Other,1.0,1.0,Other
2854.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2855.0,Other,1.0,1.0,Other
2856.0,Other,1.0,1.0,Other
2857.0,Other,1.0,1.0,Other
2858.0,Other,1.0,1.0,Other
2859.0,Other,1.0,1.0,Other
2860.0,Other,1.0,1.0,Other
2861.0,Other,1.0,1.0,Other
2862.0,Other,1.0,1.0,Other
2863.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2864.0,Other,0.8523316062176166,0.8523316062176166,APD;FM/EM;Other
2865.0,Other,0.8341968911917098,0.8341968911917098,APD;FM/EM;Other
2866.0,Other,1.0,1.0,Other
2867.0,Other,1.0,1.0,Other
2868.0,Other,1.0,1.0,Other
2869.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2870.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2871.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2872.0,Other,1.0,1.0,Other
2873.0,Other,0.9637305699481865,0.9637305699481865,APD;Other
2874.0,Other,1.0,1.0,Other
