perm_index,dK,disp_kappa_scaled,adjacency_violations,single_move,max_block_move,order_dual_proximity,score_dir,connective_density_per_100,pos_weighted_connectives,sent_connective_sd,max_sent_connectives,cluster,x,y,z,motif
48,0.4642857142857143,30.51226723869072,3,6,1,0.5357142857142857,0.3341220408311436,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
49,0.3214285714285714,20.216985822401632,3,6,2,0.6785714285714286,0.4259956764522646,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
50,0.5,33.36782565849286,3,5,2,0.5,0.3116387927468769,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
51,0.0714285714285714,4.305332978285126,1,2,3,0.9285714285714286,0.6325386902860757,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,BRE
52,0.4285714285714285,21.53176437484645,3,5,1,0.5714285714285714,0.3606098582391013,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
53,0.7142857142857143,43.46021508292231,3,7,2,0.2857142857142857,0.1804253790070764,0.0,0.0,0.0,0.0,3,0.33410583564507584,-0.23484902068284383,-0.1775283630319593,GD
54,0.7142857142857143,43.04632230140469,3,7,3,0.2857142857142857,0.1805099198613153,0.0,0.0,0.0,0.0,3,0.3377702325795662,-0.08195880511508105,-0.14179772616886446,GD
55,0.6428571428571429,33.40388586981071,3,7,2,0.3571428571428571,0.2259123079069598,0.0,0.0,0.0,0.0,0,3.5035445609117936e-17,-1.2378888408399507e-17,7.944645151759535e-18,GD
56,0.75,46.54477718910709,5,7,2,0.25,0.1584131217695903,0.0,0.0,0.0,0.0,3,0.38175970066439474,-0.1602222141442847,-0.025552682706991226,GD
57,0.6071428571428571,34.51885361601217,5,6,1,0.3928571428571428,0.2469759104368718,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
58,0.4642857142857143,24.326594853332427,4,6,2,0.5357142857142857,0.3372222461138743,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
59,0.3571428571428571,17.68345785422266,4,5,1,0.6428571428571429,0.4071235988682529,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
60,0.5,30.11251036069385,4,6,1,0.5,0.3128565646218423,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
61,0.5,27.03821846553481,5,7,1,0.5,0.3142662416476884,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,FM/EM
62,0.3928571428571428,23.161505988894007,4,4,1,0.6071428571428571,0.3808409737212752,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
63,0.5714285714285714,35.025480050812064,3,6,3,0.4285714285714285,0.2682461096029442,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
64,0.6428571428571429,46.00174702167945,3,6,2,0.3571428571428571,0.2227960362491829,0.0,0.0,0.0,0.0,1,-0.2642341979281259,-0.30395697871951183,-0.013870481700696345,GD
65,0.5,34.180095036879166,3,7,4,0.5,0.3113700659301994,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
66,0.7857142857142857,43.50285182097196,5,7,2,0.2142857142857142,0.1375596166005719,0.0,0.0,0.0,0.0,2,0.21232134593273808,0.3478327890940414,0.4444601936497953,GD
67,0.4285714285714285,24.09908846848759,3,6,2,0.5714285714285714,0.3587939765992212,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
68,0.6071428571428571,38.229140647121575,3,6,2,0.3928571428571428,0.2459107874321827,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,GD
69,0.3214285714285714,17.418772258434736,4,5,1,0.6785714285714286,0.4288598312379585,0.0,0.0,0.0,0.0,0,8.470084232956373e-18,5.652000082201327e-19,2.922049182974334e-18,Other
70,0.8214285714285714,47.33517168733523,5,7,2,0.1785714285714285,0.1154184044521223,0.0,0.0,0.0,0.0,2,0.3773502943723099,0.1534599219648029,-0.7811642338366471,GD
